Name,UIN,Status,Job Title,Department,Hire Year,Permissions,Permission last accessed,Last Recertification Date,Previous role,Access Risk level,Can be automatically recertified,Needs human review,Recertification Frequency 
Cameron Smith,137203103,Staff,Financial Aid Officer,Finance,2019,Financial Aid System,03/24/2025 15:40:31,11/23/24 0:00:00,Financial Aid Officer,0.32,no,no,Anually
Cameron Smith,137203103,Staff,Financial Aid Officer,Finance,2019,Student Financial Records,03/28/2025 15:40:31,12/17/24 0:00:00,,0.1,no,no,Anually
Alex Garcia,137465687,Undergraduate Student,Library Assistant,Chemistry,2020,Library System Access,04/12/2025 15:40:31,08/24/24 0:00:00,,0.23,no,yes,Bianually
Alex Garcia,137465687,Undergraduate Student,Library Assistant,Chemistry,2020,GSuite,03/28/2025 15:40:31,08/30/24 0:00:00,Library Assistant,0.28,no,yes,Anually
Casey Lee,166453642,Graduate Student,Research Assistant,Physics,2024,Physix Data Core,04/03/2025 15:40:31,12/23/24 0:00:00,,0.53,no,no,Anually
Casey Lee,166453642,Graduate Student,Research Assistant,Physics,2024,GSuite,04/20/2025 15:40:31,08/08/24 0:00:00,Research Assistant,0.5,yes,yes,Anually
Taylor Martinez,180163631,Undergraduate Student,Library Assistant,Chemistry,2021,Library System Access,03/22/2025 15:40:31,08/21/24 0:00:00,Lab Assistant,0.51,no,no,Bianually
Taylor Martinez,180163631,Undergraduate Student,Library Assistant,Chemistry,2021,GSuite,03/27/2025 15:40:31,06/30/24 0:00:00,,0.66,no,no,Bianually
Alex Martinez,147867853,Undergraduate Student,Library Assistant,IT,2021,Library System Access,04/01/2025 15:40:31,12/01/24 0:00:00,,0.69,no,no,Bianually
Alex Martinez,147867853,Undergraduate Student,Library Assistant,IT,2021,GSuite,04/01/2025 15:40:31,06/26/24 0:00:00,,0.96,yes,yes,Anually
Casey Martinez,122570254,Undergraduate Student,Peer Tutor,Engineering,2021,Gradescope,03/23/2025 15:40:31,11/14/24 0:00:00,,0.43,yes,no,Anually
Casey Martinez,122570254,Undergraduate Student,Peer Tutor,Engineering,2021,Blackboard,03/23/2025 15:40:31,09/10/24 0:00:00,,0.67,no,no,Anually
Alex Smith,194059794,Staff,HR Coordinator,Chemistry,2019,HR Portal,04/09/2025 15:40:31,10/15/24 0:00:00,,0.67,no,yes,Anually
Alex Smith,194059794,Staff,HR Coordinator,Chemistry,2019,Employee Records Access,04/04/2025 15:40:31,07/04/24 0:00:00,IT Support,0.76,yes,no,Anually
Alex Johnson,175251645,Staff,HR Coordinator,Library,2019,HR Portal,04/10/2025 15:40:31,09/11/24 0:00:00,,0.68,no,no,Anually
